Station_Name,Station_Description,Geographic_Description,Latitude,Longitude,Notes,Station_Number,CDEC_Name
2019-AR1,Arnold Slough 1,Suisun Marsh,38.1746506,-121.9074223,,E3S81031544,
2019-AR2,Arnold Slough 2,Suisun Marsh,38.175852,-121.909715,,E3S81051544,
2019-AR3,Arnold Slough 3,Suisun Marsh,38.1779391,-121.9090407,,E3S81071545,
2019-BN2,Brown's Island 1,Confluence,38.037908,-121.871869,,B9S80231523,
2019-BN3,Brown's Island 2,Confluence,38.037042,-121.873187,,B9S80221524,
2019-BN4,Brown's Island 3,Confluence,38.040006,-121.870253,,B9S80241522,
2019-CR1,Cross Slough 1,Suisun Marsh,38.17552,-121.93436,,E3S81051561,
2019-CR2,Cross Slough 2,Suisun Marsh,38.1739,-121.932242,,E3S81041559,
2019-CR3,Cross Slough 3,Suisun Marsh,38.17329,-121.93064,,E3S81041558,
2019-DN1,Denverton Slough 1,Suisun Marsh,38.198417,-121.915467,,E3S81191549,
2019-DN2,Denverton Slough 2,Suisun Marsh,38.199817,-121.91685,,E3S811101550,
2019-DN3,Denverton Slough 3,Suisun Marsh,38.199558,-121.920847,,E3S811101553,
2019-FM1,First Mallard 1,Suisun Marsh,38.1987,-122.0332,,E3S811920110,
2019-FM2,First Mallard 2,Suisun Marsh,38.1969,-122.0291,,E3S81182017,
2019-FM3,First Mallard 3,Suisun Marsh,38.19497,-122.03268,,E3S811720110,
2019-PC1,Pacheco Slough 1,Suisun Marsh,38.032192,-122.081747,,E3S80192049,
2019-PC3,Pacheco Slough 3,Suisun Marsh,38.034965,-122.085815,,E3S80212052,
2019-PYK1,Peyton-Kill Cage 1,Suisun Marsh,NA,NA,,E3S80192066,
2019-PYK2,Peyton-Kill Cage 2,Suisun Marsh,NA,NA,,E3S80202066,
2019-RY1,Ryer Island 1,Suisun & Grizzly Bay,38.080843,-122.01702,,E3S80482010,
2019-RY2,Ryer Island 2,Suisun & Grizzly Bay,38.082793,-122.011659,,E3S804102007,
2019-RY3,Ryer Island 3,Suisun & Grizzly Bay,38.077069,-122.008395,,E3S80462005,
2019-RY4,Ryer Island 4,Suisun & Grizzly Bay,38.077227,-122.004736,,E3S80462003,
2020-AR1,Arnold Slough 1,Suisun Marsh,38.175533,-121.909867,,E381051546,
2020-AR2,Arnold Slough 2,Suisun Marsh,38.17705,-121.91015,,E381061546,
2020-AR3,Arnold Slough 3,Suisun Marsh,38.176067,-121.91395,,E381061548,
2020-BN1,Brown's Island 1,Confluence,38.039283,-121.858567,,B980241515,
2020-BN2,Brown's Island 2,Confluence,38.039683,-121.864917,,B980241519,
2020-BN3,Brown's Island 3,Confluence,38.041367,-121.868183,,B980251521,
2020-GA1,Gallinas Creek 1,San Pablo Bay,38.016333,-122.509283,,E2S800102306,
2020-GA2,Gallinas Creek 2,San Pablo Bay,38.016183,-122.502017,,E2S800102301,
2020-GA3,Gallinas Creek 3,San Pablo Bay,38.020417,-122.513783,,E2S80122308,
2020-GY1,Goodyear Slough 1,Suisun Marsh,38.129383,-122.093083,,E380782056,
2020-GY2,Goodyear Slough 2,Suisun Marsh,38.12985,-122.091917,,E380782055,
2020-GY3,Goodyear Slough 3,Suisun Marsh,38.13275,-122.08615,,E3807102052,
2020-LU1,Luco Slough 1,Suisun Marsh,38.207133,-121.92345,,E381241554,
2020-LU2,Luco Slough 2,Suisun Marsh,38.202633,-121.921367,,E381221553,
2020-LU3,Luco Slough 3,Suisun Marsh,38.200567,-121.9206,,E381201552,
2020-LU4,Luco Slough 4,Suisun Marsh,38.214717,-121.927367,,E380751331,
2020-LU5,Luco Slough 5,Suisun Marsh,38.21215,-121.921267,,E480751332,
2020-PY1,Peyton Slough 1,Suisun Marsh,38.03225,-122.10985,,E380192066,
2020-PY2,Peyton Slough 2,Suisun Marsh,38.035467,-122.1103,,E380212066,
2020-PY3,Peyton Slough 3,Suisun Marsh,38.037017,-122.11165,,E380222067,
2020-SH1,Sherman Island 1,Confluence,38.04025,-121.818833,,B980241491,
2020-SH2,Sherman Island 2,Confluence,38.042983,-121.825167,,B980261495,
2020-SH3,Sherman Island 3,Confluence,38.04145,-121.830917,,B980251499,
2020-SM1,Second Mallard 1,Suisun Marsh,38.189633,-122.00755,,E381142005,
2020-SM2,Second Mallard 2,Suisun Marsh,38.188383,-122.012267,,E381132007,
2020-SM3,Second Mallard 3,Suisun Marsh,38.18505,-122.0139,,E381112008,
2020-WH1,Wheeler Island 1,Suisun & Grizzly Bay,38.079633,-121.947233,,E380481568,
2020-WH2,Wheeler Island 2,Suisun & Grizzly Bay,38.078583,-121.9444,,E380471567,
2020-WH3,Wheeler Island 3,Suisun & Grizzly Bay,38.079367,-121.942,,E380481565,
American River at WTP,American River at Water Treatment Plant,"American River, Sacramento",38.5596,-121.4169,,A0714010,
Antelope Lake,ANTELOPE LK NR DM,Upper Feather River Watershed - Near the dam,40.1805,-120.6057,,AN001000,
Arnold Slough,ARNO,Restoration project in Nurse-Denverton. Construction was completed October 2021.,NA,NA,,NA,
Bacon Island,Old River at Bacon Island,Central Delta,37.9694,-121.5722,,B9D75811344,
Banks Headworks,Delta Pumping Plant Headworks at H.O. Banks Pumping Plant,Aqueduct - DFD - Water quality station,37.7981,-121.6238,Sampling locations vary between programs,KA000331,HRO
Barker Slough at Cook Road,,Cache Slough,38.2841,-121.8238,,A0922000,
Barker Slough Pumping Plant,North Bay Aqueduct at Barker Slough Pumping Plant,North Bay Aqueduct - Water quality station,38.2759,-121.7965,,KG000000,
Benson's Ferry,Mokelumne River above Benson's Ferry,North Delta,38.254939,-121.445419,,B2D81531267,
BET,Bethel Island near Piper Slough,land access station attached to a dock approximately 55 ft from the levee side of the channel,38.0333489 ,-121.6198269 ,,B9D80251385,BET
BL5 -Below Toe Drain,Below Base of Toe Drain in Prospect Slough,Yolo Bypass,38.27428,-121.664178,,B9D81651399,
Blacklock Marsh,BLAC,Reference marsh for Arnold and Bradmoor restoration projects. Blacklock Marsh was an earlier restoration project that was completed in 2006.,NA,NA,,NA,
Bradmoor Island,BRAD,Restoration project in Nurse-Denverton. Construction was completed in November 2022.,NA,NA,,NA,
Broad Slough,BROA,Adjacent water body for Winter Island restoration project.,NA,NA,,NA,
Browns Island,BROW,Reference marsh for Winter Island and Chipps Island restoration projects,NA,NA,,NA,
C10A,San Joaquin River near Vernalis at SJR Club,South Delta,37.679343,-121.264857,,B9D74081159,SJR
C3A,Sacramento River at Hood,North Delta,38.367655,-121.520475,,B9D82211312,SRH
C7A,San Joaquin River at Mossdale Bridge,South Delta,37.786,-121.3067,,B9D74721184,MSD
C9,West Canal at Clifton Court Intake,South Delta,37.830917,-121.554004,,B9C74981333,
C9A,Clifton Court Forebay at Intake,South Delta,37.8308,-121.557,,B9D74981334,
Cache Sl at Hastings,Cache Slough at Hastings Cut,Cache Slough,38.292692,-121.740483,,B9S81761444,
Cache Sl at Ryer,Cache Slough near Ryer Island Gaging Station,Cache Slough,38.213358,-121.668558,,B9D81281401,
Cache Slough,CACH,The slough to the southwest of the Lookout Slough restoration project,NA,NA,,NA,
Calaveras at Brookside,Calaveras River at Brookside Road,"South Delta, Stockton",37.975556,-121.346639,,B9D75851208,
Calaveras at UOP,Calaveras River at University of the Pacific Footbridge,"South Delta, Stockton",37.981361,-121.314,,B9D75891188,
Calhoun Cut,Calhoun Cut at Highway 113,Cache Slough,38.2602,-121.8055,,B9D81561483,
Castaic Dam Control Bldg.,Castaic Lake at MWD turnout pipe,Castaic Lake - Water quality station,34.5152,-118.6102,,CAS00000,
Castaic Lake - Outlet,Castaic Lake Outlet Tower,Castaic Lake - ~1000' from tower,34.5152,-118.6101,,CA002000,
Check 21,CALIFORNIA AQU NR KETTLEMAN CK-21,Aqueduct - SLFD - WQ station,36.0142,-119.9769,,KA017226,
Check 23,"Cal Aqu at mi 197.05, Check 23",Aqueduct - SJFD - Check structure,35.7076,-119.7835,,KA019705,
Check 27,Check 27,Aqueduct - SJFD - Check structure,35.0167,-118.0167,,KA023173,
Check 29,CALIFORNIA AQU A CHECK 29,Aqueduct - SJFD - Check structure,35.232,-119.3299,,KA024454,
Check 41,CALIFORNIA AQUEDUCT AT CHECK 41,Aqueduct - SFD - Water quality station,34.834,-118.7119,,KA030341,
Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,Aqueduct - SFD - Water quality station,34.336,-117.3036,,KA040341,
Chipps Island,CHIP,Planned restoration project in the Sacramento-San Joaquin Confluence.,NA,NA,,NA,
Clifton Court Forebay,Clifton Court Intake,Aqueduct - DFD - Water quality station,37.8298,-121.5574,,KA000000,
Colusa,Ag Drain on Colusa Basin Main Drain,Upstream Sacramento River Valley,38.7993,-121.7252,,A0294500,
Contra Costa at Rock Slough,,Central Delta,37.976917,-121.613083,,B9D75861368,
Cosumnes,Cosumnes River above Benson's Ferry,North Delta,38.254581,-121.435719,,B1D81541262,
D10,Sacramento River at Chipps Island,Confluence,38.048364,-121.918587,Sampling locations vary between programs,B9D80281551,
D10A,Sacramento River at Mallard Island,Confluence,38.042889,-121.920111,,B9D80261551,MAL
D12,San Joaquin River at Antioch Ship Channel,Confluence,38.021427,-121.806965,,B9D80131484,
D16,San Joaquin River at Twitchell Island,Central Delta,38.087988,-121.681134,,B9D80581401,
D19,Franks Tract near Russo's Landing,Central Delta,38.047662,-121.622335,,B9D80261369,
D22,Sacramento River at Emmaton,Confluence,38.08709,-121.747399,,B9D80511443,
D24,Sacramento River below Rio Vista Bridge,North Delta,38.15778,-121.6847,,B9D80951411,
D26,San Joaquin River at Potato Slough,Central Delta,38.083861,-121.573184,,B9D80461340,
D28A,Old River at Rancho Del Rio,Central Delta,37.969697,-121.573145,Sampling locations vary between programs,B9D75821344,
D4,Sacramento River above Point Sacramento,Confluence,38.065164,-121.83486,,B9D80381492,
D41 ,San Pablo Bay near Pinole Point,San Pablo Bay,38.030135,-122.372771,,E0B80182224,
D41A,San Pablo Bay near Mouth of Petaluma River,San Pablo Bay,38.083333,-122.396333,,E0B80512234,
D6,Suisun Bay at Bulls Head near Martinez,Suisun & Grizzly Bay,38.046308,-122.121838,,E3B80272071,
D7,Grizzly Bay at Dolphin near Suisun Slough,Suisun & Grizzly Bay,38.116854,-122.039512,,E0B80702024,
D8,Suisun Bay off Middle Point near Nichols,Suisun & Grizzly Bay,38.059971,-121.992062,,E3B80361594,
Davis Wastewater,Davis Wastewater Discharge at Toe Drain,Yolo Bypass,38.567,-121.63823,,A0033300,
Decker Island,DECK,"	Restoration project in the lower Sacramento River. Construction was completed in October 2018.",NA,NA,,NA,
Del Valle Check No. 7,South Bay Aqueduct Del Valle Check 7,South Bay Aqueduct - Water quality station,37.6547,-121.7419,,KB001638,
Del Valle Conservation Outlet,Del Valle Conserv. Outlet Works,Lake Del Valle - Water quality station,37.6183,-121.7494,,DV000000,
Delta Mendota Canal,Delta Mendota Canal @ McCabe Rd,"Delta Mendota Canal - Side of the canal, US of McCabe Rd.",37.1329,-121.0407,,DMC06716,
Devil Canyon 2nd Afterbay,Devil Canyon 2nd Afterbay,Aqueduct - SFD - Water quality station,34.2031,-117.3403,,KA041323,
DGL,Doughty Cut near Grantline Canal,tidal river channel,37.814717,-121.425209,,B9D74911256,DGL
DMC Intake at Jones,Eastside Delta Mendota Canal Intake at Jones Pumping Plant,Delta Mendota Canal,37.7968,-121.58526,,B9C74781351,
Dow,DOW,Corteva Wetlands Preserve (formerly Dow Wetland Preserve) in the Sacramento-San Joaquin Confluence. Dow was sampled as a potential restoration project but is no longer sampled by FRP.,NA,NA,,NA,
FAL,False River near Oakley,tidal river channel; boat access,38.055469,-121.667129,,B9D80331400,FAL
FCT,Fisherman's Cut,tidal river channel; boat access,38.065612,-121.647933,,B9D80411389,FCT
Frenchman Lake,FRENCHMAN LK NR DM,Upper Feather River Watershed - Near the dam,39.8944,-120.1925,,FR001000,
Garwood,Feather River near Garwood Road,Upstream Sacramento River Valley,38.893833,-121.5985,,A0510250,
GCT,Grant Ln Can @ Tracy Rd Bdg,South Delta,37.820111,-121.449833,,B9D74921269,GCT
Gianelli,Gianelli Water Quality Station near Pumping Plant,California Aqueduct,37.066456,-121.07219,,ON003050,ONG
GLC,Grant Line Canal near Old River,tidal river channel; boat access,37.820123,-121.544661,,B9D72921327,GLC
GLCaboveDam,Grantline Canal above Dam,South Delta,37.82016111,-121.447425,,B9D74921510,
GLE,Grant Line Canal East,tidal river channel; boat access,37.82025,-121.434861,,B9D74921261,GLE
Grizzly Bay,GRIZ,Adjacent water body for Tule Red restoration project.,NA,NA,,NA,
HLT,Middle River near Holt,tidal river channel; boat access,38.003081,-121.510933,,B9D80021306,HLT
HOL,Holland Cut near Bethel Island,tidal river channel; boat access,38.015821,-121.582124,,B9D80101349,HOL
Honker-Spoonbill,HONK,Honker Bay and Spoonbill are the adjacent waterbodies for Chipps Island.,NA,NA,,NA,
Horseshoe Bend,HORS,Horseshoe Bend,NA,NA,,NA,
Jones Headworks,Concrete Landing at Westside of Delta Mendota Canal Uphill of Pump,Delta Mendota Canal,37.782811,-121.5912,,B9C74701355,
Jones Lockup,Canel Water Delivery in Water Quality Cage in Jones Pumping Plant,Delta Mendota Canal,37.797042,-121.586186,Sampling locations vary between programs,B9C74781352,TRP
KV Lift Station,,"Storm Water Pump Station, Lathrop",37.793778,-121.3,,B0D74761180,
Lake Davis,LK DAVIS A STA 1 NR DM,Upper Feather River Watershed - Near the dam,39.8857,-120.4789,,LD001000,
Lake Oroville Dam,LK OROVILLE NR DM STA 1,Lake Oroville - Near the dam,39.5384,-121.4822,,OR001000,
Lake Oroville Middle Fork,Lake Oroville at Middle Fork,Lake Oroville - Middle Fork Arm,39.5667,-121.4022,,OR006000,
Lake Oroville North Fork,Lake Oroville at North Fork,Lake Oroville - North Fork Arm,39.6743,-121.4758,,OR005000,
Lake Oroville South Fork,Lake Oroville at South Fork,Lake Oroville - South Fork Arm,39.5356,-121.3596,,OR007000,
Lake Perris - Outlet,Lake Perris Outlet,"Lake Perris - On lake, via boat",33.8397,-117.1763,,PE002000,
