"","Station Number","Sample Code","CollectionDate","Data Owner","Data Status","Collection Date","Analyte","CAS Reg Number","Lab Dup","Result","Rpt Limit","Units","Method","Depth","Matrix","Sample Type","Parent Sample","Description","Notes","Result Rejected"
"20","E380782056","EL0220B0129",2020-02-24 12:48:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 12:48","Total Kjeldahl Nitrogen","TKN",NA,"0.8","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"21","E380782056","EL0220B0129",2020-02-24 12:48:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 12:48","Dissolved ortho-Phosphate","14265-44-2",NA,"0.052","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"22","E380782055","EL0220B0130",2020-02-24 13:00:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:00","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.495","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"23","E380782055","EL0220B0130",2020-02-24 13:00:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:00","Total Phosphorus","7723-14-0",NA,"0.14","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"24","E380782055","EL0220B0130",2020-02-24 13:00:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:00","Total Kjeldahl Nitrogen","TKN",NA,"0.7","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"25","E380782055","EL0220B0130",2020-02-24 13:00:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:00","Dissolved ortho-Phosphate","14265-44-2",NA,"0.057","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"26","E3807102052","EL0220B0131",2020-02-24 13:13:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:13","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.51","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"27","E3807102052","EL0220B0131",2020-02-24 13:13:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:13","Total Phosphorus","7723-14-0",NA,"0.14","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"28","E3807102052","EL0220B0131",2020-02-24 13:13:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:13","Total Kjeldahl Nitrogen","TKN",NA,"0.7","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"29","E3807102052","EL0220B0131",2020-02-24 13:13:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:13","Dissolved ortho-Phosphate","14265-44-2",NA,"0.064","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"30","E381112008","EL0220B0128",2020-02-24 13:46:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 13:46","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.49","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
