station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,county_name,sample_count,sample_date_min,sample_date_max
35805,20S15E21D001M,20S15E21D001M,20S15E21D001M,Groundwater,36.17970000,-120.35400000,Fresno,2,1951-03-20T00:00:00,1955-10-26T17:35:00
35806,20S15E22D001M,20S15E22D001M,20S15E22D001M,Groundwater,36.17770000,-120.33680000,Fresno,3,1964-12-15T11:15:00,1980-04-30T07:30:00
35807,20S15E22N001M,20S15E22N001M,20S15E22N001M,Groundwater,36.16630000,-120.33630000,Fresno,2,1951-09-01T00:00:00,1952-08-13T00:00:00
35808,20S15E23D001M,20S15E23D001M,20S15E23D001M,Groundwater,36.18000000,-120.31880000,Fresno,1,1973-05-23T11:05:00,1973-05-23T11:05:00
35809,20S15E25D001M,20S15E25D001M,20S15E25D001M,Groundwater,36.16550000,-120.30070000,Fresno,6,1940-05-30T00:00:00,1954-11-06T00:00:00
35810,20S15E25D002M,20S15E25D002M,20S15E25D002M,Groundwater,36.16300000,-120.30070000,Fresno,11,1955-07-27T16:45:00,1963-08-23T09:10:00
35811,20S15E25H001M,20S15E25H001M,20S15E25H001M,Groundwater,36.16090000,-120.29210000,Fresno,1,1949-09-15T00:00:00,1949-09-15T00:00:00
35812,20S15E26D003M,20S15E26D003M,20S15E26D003M,Groundwater,36.16550000,-120.31850000,Fresno,2,1964-12-15T14:30:00,1973-05-23T10:45:00
35813,20S15E26M001M,20S15E26M001M,20S15E26M001M,Groundwater,36.15800000,-120.31850000,Fresno,8,1951-09-01T00:00:00,1959-07-17T09:00:00
35814,20S15E26M002M,20S15E26M002M,20S15E26M002M,Groundwater,36.15520000,-120.31880000,Fresno,3,1960-07-18T12:30:00,1973-05-23T10:40:00
35815,20S15E27E001M,20S15E27E001M,20S15E27E001M,Groundwater,36.16130000,-120.33630000,Fresno,1,1945-05-04T00:00:00,1945-05-04T00:00:00
35816,20S15E28A001M,20S15E28A001M,20S15E28A001M,Groundwater,36.16450000,-120.34610000,Fresno,1,1978-06-15T00:00:00,1978-06-15T00:00:00
35817,20S15E28D001M,20S15E28D001M,20S15E28D001M,Groundwater,36.16410000,-120.35400000,Fresno,3,1951-09-01T00:00:00,1973-05-23T11:50:00
35818,20S15E33C002M,20S15E33C002M,20S15E33C002M,Groundwater,36.14800000,-120.34880000,Fresno,1,1987-06-17T11:30:00,1987-06-17T11:30:00
35819,20S15E33P001M,20S15E33P001M,20S15E33P001M,Groundwater,36.13920000,-120.35500000,Fresno,1,1955-10-26T12:00:00,1955-10-26T12:00:00
35820,20S15E34B001M,20S15E34B001M,20S15E34B001M,Groundwater,36.14940000,-120.32540000,Fresno,1,1951-09-01T00:00:00,1951-09-01T00:00:00
35821,20S15E34D001M,20S15E34D001M,20S15E34D001M,Groundwater,36.15000000,-120.34150000,Fresno,1,1973-05-23T08:00:00,1973-05-23T08:00:00
35822,20S15E34N002M,20S15E34N002M,20S15E34N002M,Groundwater,36.13800000,-120.33650000,Fresno,1,1973-05-22T13:00:00,1973-05-22T13:00:00
35823,20S15E35D001M,20S15E35D001M,20S15E35D001M,Groundwater,36.15000000,-120.32350000,Fresno,1,1973-05-23T08:25:00,1973-05-23T08:25:00
35824,20S15E36E001M,20S15E36E001M,20S15E36E001M,Groundwater,36.14690000,-120.30070000,Fresno,1,1951-09-01T00:00:00,1951-09-01T00:00:00
35825,20S15E36Q001M,20S15E36Q001M,20S15E36Q001M,Groundwater,36.13720000,-120.28990000,Fresno,1,1951-09-01T00:00:00,1951-09-01T00:00:00
35826,20S16E01D001M,20S16E01D001M,20S16E01D001M,Groundwater,36.22550000,-120.19240000,Fresno,1,1951-08-14T00:00:00,1951-08-14T00:00:00
35827,20S16E01E001M,20S16E01E001M,20S16E01E001M,Groundwater,36.21860000,-120.19210000,Fresno,1,1951-08-14T00:00:00,1951-08-14T00:00:00
35828,20S16E02R001M,20S16E02R001M,20S16E02R001M,Groundwater,36.21080000,-120.19290000,Fresno,1,1951-08-14T00:00:00,1951-08-14T00:00:00
35829,20S16E03R001M,20S16E03R001M,20S16E03R001M,Groundwater,36.21020000,-120.21150000,Fresno,1,1951-08-14T00:00:00,1951-08-14T00:00:00
35830,20S16E04P001M,20S16E04P001M,20S16E04P001M,Groundwater,36.21330000,-120.23820000,Fresno,9,1951-08-14T00:00:00,1962-04-25T13:40:00
35831,20S16E04P002M,20S16E04P002M,20S16E04P002M,Groundwater,36.21180000,-120.24700000,Fresno,6,1951-08-14T00:00:00,1957-07-30T12:20:00
35832,20S16E07A001M,20S16E07A001M,20S16E07A001M,Groundwater,36.20810000,-120.27410000,Fresno,1,1955-10-26T17:00:00,1955-10-26T17:00:00
35833,20S16E12N001M,20S16E12N001M,20S16E12N001M,Groundwater,36.19610000,-120.19210000,Fresno,1,1968-07-17T00:00:00,1968-07-17T00:00:00
35834,20S16E20L001M,20S16E20L001M,20S16E20L001M,Groundwater,36.17110000,-120.25790000,Fresno,1,1964-03-16T12:15:00,1964-03-16T12:15:00
35835,20S16E21J001M,20S16E21J001M,20S16E21J001M,Groundwater,36.17180000,-120.23810000,Fresno,1,1951-09-01T00:00:00,1951-09-01T00:00:00
35836,20S16E21L001M,20S16E21L001M,20S16E21L001M,Groundwater,36.17110000,-120.24240000,Fresno,1,1951-08-14T00:00:00,1951-08-14T00:00:00
35837,20S16E21Q001M,20S16E21Q001M,20S16E21Q001M,Groundwater,36.16830000,-120.23460000,Fresno,2,1951-09-01T00:00:00,1955-10-26T16:00:00
35838,20S16E21R001M,20S16E21R001M,20S16E21R001M,Groundwater,36.16830000,-120.22880000,Fresno,1,1980-04-30T10:00:00,1980-04-30T10:00:00
35839,20S16E24M001M,20S16E24M001M,20S16E24M001M,Groundwater,36.17180000,-120.19740000,Fresno,1,1968-07-17T00:00:00,1968-07-17T00:00:00
35840,20S16E26D001M,20S16E26D001M,20S16E26D001M,Groundwater,36.16450000,-120.21540000,Fresno,1,1955-10-26T15:35:00,1955-10-26T15:35:00
35841,20S16E26D002M,20S16E26D002M,20S16E26D002M,Groundwater,36.16550000,-120.20850000,Fresno,2,1968-07-17T00:00:00,1975-12-16T09:00:00
35842,20S16E28D001M,20S16E28D001M,20S16E28D001M,Groundwater,36.16450000,-120.25150000,Fresno,1,1968-07-17T00:00:00,1968-07-17T00:00:00
35843,20S16E28F001M,20S16E28F001M,20S16E28F001M,Groundwater,36.16090000,-120.24700000,Fresno,1,1964-03-17T10:30:00,1964-03-17T10:30:00
35844,20S16E29N001M,20S16E29N001M,20S16E29N001M,Groundwater,36.15190000,-120.26320000,Fresno,1,1955-10-26T16:35:00,1955-10-26T16:35:00
35845,20S16E29N002M,20S16E29N002M,20S16E29N002M,Groundwater,36.15370000,-120.26950000,Fresno,4,1934-12-12T00:00:00,1960-02-24T00:00:00
35846,20S16E30H001M,20S16E30H001M,20S16E30H001M,Groundwater,36.16090000,-120.27410000,Fresno,1,1973-05-23T10:15:00,1973-05-23T10:15:00
35847,20S16E30N001M,20S16E30N001M,20S16E30N001M,Groundwater,36.15190000,-120.28290000,Fresno,3,1955-10-26T13:30:00,1973-05-23T08:45:00
35848,20S16E30N002M,20S16E30N002M,20S16E30N002M,Groundwater,36.15440000,-120.28290000,Fresno,2,1980-04-30T11:00:00,1985-01-17T10:25:00
35849,20S16E31N001M,20S16E31N001M,20S16E31N001M,Groundwater,36.13750000,-120.28260000,Fresno,2,1927-04-17T00:00:00,1945-05-04T00:00:00
35850,20S16E31Q001M,20S16E31Q001M,20S16E31Q001M,Groundwater,36.13750000,-120.27210000,Fresno,5,1949-06-16T00:00:00,1978-06-14T00:00:00
35851,20S16E32D001M,20S16E32D001M,20S16E32D001M,Groundwater,36.15000000,-120.26400000,Fresno,1,1964-03-17T08:30:00,1964-03-17T08:30:00
35852,20S16E32D003M,20S16E32D003M,20S16E32D003M,Groundwater,36.14800000,-120.26380000,Fresno,3,1951-09-01T00:00:00,1973-05-23T09:30:00
35853,20S16E32M001M,20S16E32M001M,20S16E32M001M,Groundwater,36.14110000,-120.25960000,Fresno,2,1964-02-29T08:45:00,1973-05-22T17:00:00
35854,20S16E36N001M,20S16E36N001M,20S16E36N001M,Groundwater,36.13800000,-120.19130000,Fresno,1,1964-03-18T15:30:00,1964-03-18T15:30:00
35855,20S16E36P001M,20S16E36P001M,20S16E36P001M,Groundwater,36.13860000,-120.18680000,Fresno,1,1962-12-21T00:00:00,1962-12-21T00:00:00
35856,20S16E36Q001M,20S16E36Q001M,20S16E36Q001M,Groundwater,36.13800000,-120.18490000,Fresno,3,1951-08-14T00:00:00,1964-02-29T15:10:00
35857,20S17E01E001M,20S17E01E001M,20S17E01E001M,Groundwater,36.21940000,-120.08540000,Fresno,1,1951-08-15T00:00:00,1951-08-15T00:00:00
35858,20S17E01N001M,20S17E01N001M,20S17E01N001M,Groundwater,36.21080000,-120.08510000,Fresno,1,1951-08-15T00:00:00,1951-08-15T00:00:00
35859,20S17E02N001M,20S17E02N001M,20S17E02N001M,Groundwater,36.21080000,-120.10260000,Fresno,1,1951-08-22T00:00:00,1951-08-22T00:00:00
35860,20S17E03N001M,20S17E03N001M,20S17E03N001M,Groundwater,36.21110000,-120.12130000,Fresno,2,1951-08-15T00:00:00,1958-03-10T00:00:00
35861,20S17E04E001M,20S17E04E001M,20S17E04E001M,Groundwater,36.21800000,-120.13900000,Fresno,1,1951-08-15T00:00:00,1951-08-15T00:00:00
35862,20S17E04J001M,20S17E04J001M,20S17E04J001M,Groundwater,36.21630000,-120.12210000,Fresno,1,1968-07-16T00:00:00,1968-07-16T00:00:00
35863,20S17E05E001M,20S17E05E001M,20S17E05E001M,Groundwater,36.21830000,-120.15710000,Fresno,2,1951-08-15T00:00:00,1952-08-14T00:00:00
35864,20S17E05N001M,20S17E05N001M,20S17E05N001M,Groundwater,36.21050000,-120.15680000,Fresno,1,1951-08-15T00:00:00,1951-08-15T00:00:00
35865,20S17E06D002M,20S17E06D002M,20S17E06D002M,Groundwater,36.22260000,-120.17940000,Fresno,1,1963-06-20T00:00:00,1963-06-20T00:00:00
35866,20S17E06N001M,20S17E06N001M,20S17E06N001M,Groundwater,36.21050000,-120.17790000,Fresno,1,1951-08-15T00:00:00,1951-08-15T00:00:00
35867,20S17E08E001M,20S17E08E001M,20S17E08E001M,Groundwater,36.20360000,-120.15680000,Fresno,1,1951-08-15T00:00:00,1951-08-15T00:00:00
35868,20S17E09E001M,20S17E09E001M,20S17E09E001M,Groundwater,36.20360000,-120.13900000,Fresno,1,1951-08-15T00:00:00,1951-08-15T00:00:00
35869,20S17E09N001M,20S17E09N001M,20S17E09N001M,Groundwater,36.19730000,-120.14340000,Fresno,1,1951-08-22T00:00:00,1951-08-22T00:00:00
35870,20S17E09R001M,20S17E09R001M,20S17E09R001M,Groundwater,36.19630000,-120.12540000,Fresno,10,1951-08-22T00:00:00,1962-06-19T12:15:00
35871,20S17E10C001M,20S17E10C001M,20S17E10C001M,Groundwater,36.20810000,-120.12090000,Fresno,1,1951-08-15T00:00:00,1951-08-15T00:00:00
35872,20S17E11E001M,20S17E11E001M,20S17E11E001M,Groundwater,36.20450000,-120.10730000,Fresno,1,1951-08-15T00:00:00,1951-08-15T00:00:00
35873,20S17E11N001M,20S17E11N001M,20S17E11N001M,Groundwater,36.19970000,-120.10260000,Fresno,10,1951-08-15T00:00:00,1963-08-23T08:15:00
